,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
819,Nicholas Gunn,Fallen - Richard Durand Remix,0rXvd2JAkXMDJlyDU3MPl2,25,0.505,0.897,8,-7.191,1,0.0411,0.0252,0.65,0.12,0.0395,137.97,audio_features,spotify:track:0rXvd2JAkXMDJlyDU3MPl2,https://api.spotify.com/v1/tracks/0rXvd2JAkXMDJlyDU3MPl2,https://api.spotify.com/v1/audio-analysis/0rXvd2JAkXMDJlyDU3MPl2,201342,4
820,Trippie Redd,Weeeeee,2PI3qpTqYowwMzOSQRuj73,71,0.729,0.503,0,-8.229,1,0.081,0.111,0.0,0.123,0.152,134.927,audio_features,spotify:track:2PI3qpTqYowwMzOSQRuj73,https://api.spotify.com/v1/tracks/2PI3qpTqYowwMzOSQRuj73,https://api.spotify.com/v1/audio-analysis/2PI3qpTqYowwMzOSQRuj73,152920,4
821,Helloween,Years - Remastered 2020,5T9T2XqAICzSHQmpidOthc,23,0.377,0.962,10,-7.63,1,0.105,1.47e-05,0.292,0.276,0.315,151.808,audio_features,spotify:track:5T9T2XqAICzSHQmpidOthc,https://api.spotify.com/v1/tracks/5T9T2XqAICzSHQmpidOthc,https://api.spotify.com/v1/audio-analysis/5T9T2XqAICzSHQmpidOthc,264507,4
822,Mitchell Tenpenny,Broken Up,1Jn0osXy1WcDyniHgs67jT,70,0.578,0.869,2,-4.483,1,0.0355,0.0149,0.0,0.346,0.699,160.072,audio_features,spotify:track:1Jn0osXy1WcDyniHgs67jT,https://api.spotify.com/v1/tracks/1Jn0osXy1WcDyniHgs67jT,https://api.spotify.com/v1/audio-analysis/1Jn0osXy1WcDyniHgs67jT,185023,4
823,Ash,Clones - 2020 - Remaster,0y069jft8vt9CAIUfO9T0v,15,0.486,0.926,10,-6.014,0,0.122,8.28e-06,0.654,0.364,0.343,114.37,audio_features,spotify:track:0y069jft8vt9CAIUfO9T0v,https://api.spotify.com/v1/tracks/0y069jft8vt9CAIUfO9T0v,https://api.spotify.com/v1/audio-analysis/0y069jft8vt9CAIUfO9T0v,240413,4
824,Bad Bunny,A Tu Merced,4r9jkMEnArtWGH2rL2FZl0,79,0.86,0.791,0,-4.784,1,0.0568,0.169,0.000106,0.106,0.887,92.023,audio_features,spotify:track:4r9jkMEnArtWGH2rL2FZl0,https://api.spotify.com/v1/tracks/4r9jkMEnArtWGH2rL2FZl0,https://api.spotify.com/v1/audio-analysis/4r9jkMEnArtWGH2rL2FZl0,175918,4
825,Sleepy Fish,Bookshelves,38hvo3wyY1hUFttrzxFqQg,16,0.67,0.153,4,-13.359,1,0.0907,0.864,0.393,0.0885,0.477,68.181,audio_features,spotify:track:38hvo3wyY1hUFttrzxFqQg,https://api.spotify.com/v1/tracks/38hvo3wyY1hUFttrzxFqQg,https://api.spotify.com/v1/audio-analysis/38hvo3wyY1hUFttrzxFqQg,127877,4
826,Bad Bunny,MALDITA POBREZA,0Lsis3LB0XAK6XlTHXaJk2,77,0.762,0.861,4,-4.075,0,0.0652,0.139,1.08e-06,0.0956,0.588,133.037,audio_features,spotify:track:0Lsis3LB0XAK6XlTHXaJk2,https://api.spotify.com/v1/tracks/0Lsis3LB0XAK6XlTHXaJk2,https://api.spotify.com/v1/audio-analysis/0Lsis3LB0XAK6XlTHXaJk2,213609,4
827,Philanthrope,Ocean Patio,3qJCPsmuewuWF2jkOqKOEY,17,0.744,0.117,1,-14.29,1,0.134,0.296,0.814,0.0764,0.454,84.991,audio_features,spotify:track:3qJCPsmuewuWF2jkOqKOEY,https://api.spotify.com/v1/tracks/3qJCPsmuewuWF2jkOqKOEY,https://api.spotify.com/v1/audio-analysis/3qJCPsmuewuWF2jkOqKOEY,150087,4
828,Robin Schulz,All We Got (feat. KIDDO),1FP9s72rDYty6mfoOEYKnE,86,0.504,0.76,4,-4.246,1,0.0426,0.286,0.0,0.151,0.64,183.933,audio_features,spotify:track:1FP9s72rDYty6mfoOEYKnE,https://api.spotify.com/v1/tracks/1FP9s72rDYty6mfoOEYKnE,https://api.spotify.com/v1/audio-analysis/1FP9s72rDYty6mfoOEYKnE,190218,4
